id,lon,lat
wx346,120.8,46.9
wx347,120.9,46.9
wx348,121.0,46.9
wx349,121.1,46.9
wx350,121.2,46.9
wx351,121.3,46.9
wx352,121.4,46.9
wx353,121.5,46.9
wx354,121.6,46.9
wx355,121.7,46.9
wx356,121.8,46.9
wx357,121.9,46.9
wx358,122.0,46.9
wx359,122.1,46.9
wx360,122.2,46.9
wx361,122.3,46.9
wx362,122.4,46.9
wx363,122.5,46.9
wx364,122.6,46.9
wx365,119.9,47.0
wx366,120.0,47.0
wx367,120.1,47.0
wx368,120.2,47.0
wx369,120.3,47.0
wx370,120.4,47.0
wx371,120.5,47.0
wx372,120.6,47.0
wx373,120.7,47.0
wx374,120.8,47.0
wx375,120.9,47.0
wx376,121.0,47.0
wx377,121.1,47.0
wx378,121.2,47.0
wx379,121.3,47.0
wx380,121.4,47.0
wx381,121.5,47.0
wx382,121.6,47.0
wx383,121.7,47.0
wx384,121.8,47.0
wx385,121.9,47.0
wx386,122.0,47.0
wx387,122.1,47.0
wx388,122.2,47.0
wx389,122.3,47.0
wx390,122.4,47.0
wx391,122.5,47.0
wx392,122.6,47.0
wx393,119.9,47.1
wx394,120.0,47.1
wx395,120.1,47.1
wx396,120.2,47.1
wx397,120.3,47.1
wx398,120.4,47.1
wx399,120.5,47.1
wx400,120.6,47.1
wx401,120.7,47.1
wx402,120.8,47.1
wx403,120.9,47.1
wx404,121.0,47.1
wx405,121.1,47.1
wx406,121.2,47.1
wx407,121.3,47.1
wx408,121.4,47.1
wx409,121.5,47.1
wx410,121.6,47.1
wx411,121.7,47.1
wx412,121.8,47.1
wx413,121.9,47.1
wx414,122.0,47.1
wx415,122.1,47.1
wx416,122.2,47.1
wx417,122.3,47.1
wx418,122.4,47.1
wx419,122.5,47.1
wx420,122.6,47.1
wx421,119.9,47.2
wx422,120.0,47.2
wx423,120.1,47.2
wx424,120.2,47.2
wx425,120.3,47.2
wx426,120.4,47.2
wx427,120.5,47.2
wx428,120.6,47.2
wx429,120.7,47.2
wx430,120.8,47.2
wx431,120.9,47.2
wx432,121.0,47.2
wx433,121.1,47.2
wx434,121.2,47.2
wx435,121.3,47.2
wx436,121.4,47.2
wx437,121.5,47.2
wx438,121.6,47.2
wx439,121.7,47.2
wx440,121.8,47.2
wx441,121.9,47.2
wx442,122.0,47.2
wx443,122.1,47.2
wx444,122.2,47.2
wx445,122.3,47.2
wx446,122.4,47.2
wx447,122.5,47.2
wx448,122.6,47.2
